Status,Date Start,Completion Date,Neighbourhood,Neighbourhood Code,Program,Pest,Product,Active Ingredient,Pesticide Number,Location,Total Amount (kg product)
Complete,May 11 2022,May 30 2022,Allendale,5010,Tree Pest,Cottony Psyllid,Orthene 97% Soluble Granule Systemic Insecticide,Acephate,29499,Trunk injections of select black and Manchurian ash throughout neighbourhood,
Complete,May 11 2022,May 31 2022,Argyll,6010,Tree Pest,Cottony Psyllid,Orthene 97% Soluble Granule Systemic Insecticide,Acephate,29499,Trunk injections of select black and Manchurian ash in parks,
Complete,May 11 2022,May 30 2022,Bisset,6030,Tree Pest,Cottony Psyllid,Orthene 97% Soluble Granule Systemic Insecticide,Acephate,29499,Trunk injections of select black and Manchurian ash throughout neighbourhood,
Complete,May 11 2022,May 30 2022,Bonnie Doon,6040,Tree Pest,Cottony Psyllid,Orthene 97% Soluble Granule Systemic Insecticide,Acephate,29499,Trunk injections of select black and Manchurian ash throughout neighbourhood,
Complete,May 11 2022,May 30 2022,Daly Grove,6150,Tree Pest,Cottony Psyllid,Orthene 97% Soluble Granule Systemic Insecticide,Acephate,29499,Trunk injections of select black and Manchurian ash throughout neighbourhood,
Complete,May 11 2022,May 30 2022,Forest Heights,6230,Tree Pest,Cottony Psyllid,Orthene 97% Soluble Granule Systemic Insecticide,Acephate,29499,Trunk injections of select black and Manchurian ash throughout neighbourhood,
Complete,May 11 2022,May 30 2022,Garneau,5200,Tree Pest,Cottony Psyllid,Orthene 97% Soluble Granule Systemic Insecticide,Acephate,29499,Trunk injections of select black and Manchurian ash throughout neighbourhood,
Complete,May 11 2022,May 30 2022,Hazeldean,6290,Tree Pest,Cottony Psyllid,Orthene 97% Soluble Granule Systemic Insecticide,Acephate,29499,Trunk injections of select black and Manchurian ash throughout neighbourhood,
Complete,May 11 2022,May 26 2022,Kiniski Gardens,2420,Tree Pest,Cottony Psyllid,Orthene 97% Soluble Granule Systemic Insecticide,Acephate,29499,Trunk injections of select black and Manchurian ash throughout neighbourhood,
Complete,May 11 2022,June 08 2022,Larkspur,6390,Tree Pest,Cottony Psyllid,Orthene 97% Soluble Granule Systemic Insecticide,Acephate,29499,Trunk injections of select black and Manchurian ash throughout neighbourhood,
Complete,May 11 2022,May 31 2022,Lendrum Place,5270,Tree Pest,Cottony Psyllid,Orthene 97% Soluble Granule Systemic Insecticide,Acephate,29499,Trunk injections of select black and Manchurian ash throughout neighbourhood,
Complete,May 11 2022,May 30 2022,McKernan,5290,Tree Pest,Cottony Psyllid,Orthene 97% Soluble Granule Systemic Insecticide,Acephate,29499,Trunk injections of select black and Manchurian ash throughout neighbourhood,
Complete,May 11 2022,May 30 2022,Pollard Meadows,6580,Tree Pest,Cottony Psyllid,Orthene 97% Soluble Granule Systemic Insecticide,Acephate,29499,Trunk injections of select black and Manchurian ash throughout neighbourhood,
Complete,May 11 2022,May 30 2022,Strathcona,5480,Tree Pest,Cottony Psyllid,Orthene 97% Soluble Granule Systemic Insecticide,Acephate,29499,Trunk injections of select black and Manchurian ash throughout neighbourhood,
Complete,May 11 2022,May 30 2022,Weinlos,6770,Tree Pest,Cottony Psyllid,Orthene 97% Soluble Granule Systemic Insecticide,Acephate,29499,Trunk injections of select black and Manchurian ash throughout neighbourhood,
Complete,August 11 2022,August 11 2022,Eastwood,1100,Tree Pest,Elm Scale,Treeazin Systemic Insecticide,Azadirachtin,30559,Trunk injections of select elm tree throughout neighbourhood,
Complete,May 16 2023,June 29 2023,Belmont,2070,Tree Pest,Cottony Psyllid,Orthene 97% Soluble Granule Systemic Insecticide,Acephate,29499,Trunk Injection of select black and manchurian ash throughout neighbourhood,
Complete,May 16 2023,July 05 2023,McLeod,2530,Tree Pest,Cottony Psyllid,Orthene 97% Soluble Granule Systemic Insecticide,Acephate,29499,Trunk Injection of select black and manchurian ash throughout neighbourhood,
Complete,June 06 2023,July 05 2023,Calder,3070,Tree Pest,Elm Scale,Treeazin Systemic Insecticide,Azadirachtin,30559,Trunk Injection of select Elm trees throughout neighbourhood,
Complete,July 05 2023,July 10 2023,Glenora,3200,Tree Pest,Elm Scale,Treeazin Systemic Insecticide,Azadirachtin,30559,Trunk Injection of select Elm trees throughout neighbourhood,
Complete,July 11 2023,July 13 2023,Newton,2560,Tree Pest,Elm Scale,Treeazin Systemic Insecticide,Azadirachtin,30559,Trunk Injection of select Elm trees throughout neighbourhood,
Complete,July 13 2023,July 24 2023,Westwood,1250,Tree Pest,Elm Scale,Treeazin Systemic Insecticide,Azadirachtin,30559,Trunk Injection of select Elm trees throughout neighbourhood,
Complete,July 24 2023,August 09 2023,Westmount,3440,Tree Pest,Elm Scale,Treeazin Systemic Insecticide,Azadirachtin,30559,Trunk Injection of select Elm trees throughout neighbourhood,
Complete,July 26 2023,August 30 2023,Beverly Heights,2100,Tree Pest,Elm Scale,Treeazin Systemic Insecticide,Azadirachtin,30559,Trunk injections of select Elm trees throughout neighbourhood,
Complete,August 21 2023,August 23 2023,Oliver,1150,Tree Pest,Elm Scale,Treeazin Systemic Insecticide,Azadirachtin,30559,Trunk injections of select Elm trees throughout neighbourhood,
Complete,August 21 2023,September 13 2023,Woodcroft,3450,Tree Pest,Elm Scale,Treeazin Systemic Insecticide,Azadirachtin,30559,Trunk injections of select Elm trees throughout neighbourhood,
Complete,August 21 2023,September 13 2023,Windsor Park,5580,Tree Pest,Elm Scale,Treeazin Systemic Insecticide,Azadirachtin,30559,Trunk injections of select Elm trees throughout neighbourhood,
Complete,June 05 2024,June 05 2024,Silver Berry,6442,Tree Pest,Cottony Psyllid,Orthene 97% Soluble Granule Systemic Insecticide,Acephate,29499,Trunk injections of select black and Manchurian ash throughout neighbourhood,
Complete,June 24 2024,July 03 2024,Montrose,2550,Tree Pest,Elm Scale,Treeazin Systemic Insecticide,Azadirachtin,30559,Trunk injections of select black and Manchurian ash throughout neighbourhood,
Complete,July 03 2024,July 31 2024,Inglewood,3240,Tree Pest,Elm Scale,Treeazin Systemic Insecticide,Azadirachtin,30559,Trunk injections of select black and Manchurian ash throughout neighbourhood,
Complete,August 01 2024,August 22 2024,Highlands,2330,Tree Pest,Elm Scale,Treeazin Systemic Insecticide,Azadirachtin,30559,Trunk injections of select black and Manchurian ash throughout neighbourhood,
Complete,August 26 2024,September 20 2024,Hazeldean,6290,Tree Pest,Elm Scale,Treeazin Systemic Insecticide,Azadirachtin,30559,Trunk injections of select black and Manchurian ash throughout neighbourhood,
Complete,September 23 2024,September 25 2024,Holyrood,6310,Tree Pest,Elm Scale,Treeazin Systemic Insecticide,Azadirachtin,30559,Trunk injections of select black and Manchurian ash throughout neighbourhood,
